Harbour Province Name,SCH Harbour Code,Harbour Name,Number,Name,,A,B,C,"Average Landed Value, 2009-2013 ($CAD)","Average Landed Quantity, 2009-2013 (KG)",Change in Total Landed Quantity (2004 and 2013),Number of Active Vessels Port of Landing (2013),"Number of Active Vessels, Port of Landing (2009-2013)",Average Fishing Income (2009-2012),Average Income with Tax Filers (2009-2012),% of Average Fishing Income to Average Employment Income (2009-2012) (based on 2006 CSD boundaries),Total Population For CSD (2011),,
Nova Scotia,1114,GLACE BAY,1217030,Cape Breton,,,,,9988294,3230781,-0.3136,46,50,4980681,329033792,0.0151,97398,,
Newfoundland & Labrador,206,GLOVER'S HARBOUR,1008046,,,,,,2764,366,-0.9406,NA,1,12191,424317,0.0287,537,,
Newfoundland & Labrador,207,GLOVERTOWN,1007038,"Division No.  7, Subd. D",,,,,120353,68193,1.1136,6,6,143,4968,0.0288,232,,
Newfoundland & Labrador,208,GOOSE COVE,1009039,Goose Cove East,,,,,461029,295271,-0.5688,14,20,NA,NA,NA,211,,
Newfoundland & Labrador,209,GOOSEBERRY COVE,1007001,"Division No.  7, Subd. M",,,,,204409,707949,0.7412,12,17,551443,8092174,0.0681,2055,,
Prince Edward Island,2029,GRAHAM'S POND,1101006,Lot 63,,,,,2980470,672993,-0.6229,33,41,NA,NA,NA,915,,
Newfoundland & Labrador,210,GRAND BANK,1002016,"Division No.  2, Subd. H",,,,,1001046,414390,-0.9308,25,26,214,588,0.3642,139,,
Newfoundland & Labrador,,GRAND BEACH,1002016,"Division No.  2, Subd. H",,,,,253751,44903,-0.5939,5,7,214,588,0.3642,139,,
Newfoundland & Labrador,213,GRAND BRUIT,1003038,"Division No.  3, Subd. I",,,,,168634,21193,-0.3048,12,6,33057,291674,0.1133,103,,
New Brunswick,,GRAND DIGUE,1308001,Dundas,,,,,4261,2574,-0.1033,1,1,297265,25686429,0.0116,6282,,
Nova Scotia,1117,GRAND ETANG,1215011,"Inverness, Subd. A",,,,,2296588,357736,0.0526,20,22,1281897,14555042,0.0881,5280,,
Newfoundland & Labrador,214,GRAND LA PIERRE,1002029,"Division No.  2, Subd. J",,,,,232999,65453,-0.8016,10,12,41748,263768,0.1583,0,,
New Brunswick,,GRAND MANAN,1302001,Grand Manan,,,,,302832,108416,-0.8469,1,2,2823489,8518829,0.3314,162,,
Nova Scotia,,GRAND NARROWS,1217030,Cape Breton,,,,,4725,649,95.9655,1,0,4980681,329033792,0.0151,97398,,
New Brunswick,,GRANDE ALDOUANE,1308019,,,,,,6431,2268,-0.1504,1,1,NA,NA,NA,1982,,
Quebec,3589,GRANDE ENTREE,2401023,Les Îles-de-la-Madeleine,,,,,11240056,1548980,-0.6299,80,87,598409,1542285,0.3880,12291,,
Quebec,,GRANDE GREVE,2403005,Gaspé,,,,,109393,12578,1.1808,2,2,3184211,55870550,0.0570,15163,,
Quebec,,GRANDE VALLEE,,,,,,,64895,50925,1.3966,1,2,NA,NA,NA,NA,,
New Brunswick,2557,GRANDE-ANSE,1315016,New Bandon,,,,,590632,87247,2.0327,7,7,438174,3815187,0.1149,1195,,
Quebec,3590,GRANDE-RIVIERE - HAVRE,2402015,Grande-Rivière,,,,,5916203,3172497,0.2060,46,44,955062,8812479,0.1084,3456,,
Nova Scotia,,GRANVILLE FERRY,1205004,"Annapolis, Subd. A",,,,,12,5,-0.9999,NA,NA,1116846,8333732,0.1340,6008,,
Newfoundland & Labrador,215,GRATES COVE,1001339,"Division No.  1, Subd. G",,,,,403685,134587,-0.1382,19,19,1322782,5570825,0.2374,2017,,
Newfoundland & Labrador,,GREAT BREHAT,1009031,"Division No.  9, Subd. D",,,,,14550,11378,2.2491,6,6,1063069,13904936,0.0765,815,,
Newfoundland & Labrador,,GREAT HARBOUR DEEP,1009001,,,,,,236647,70435,-0.6906,15,15,8786,187678,0.0468,77,,
Newfoundland & Labrador,220,GREEN ISLAND BROOK,1009021,"Division No.  9, Subd. C",,,,,44314,78200,-0.8421,8,10,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,221,GREEN ISLAND COVE,1009021,"Division No.  9, Subd. C",,,,,105047,154831,-0.7675,14,13,1381827,7979120,0.1732,2729,,
Newfoundland & Labrador,,GREEN POINT,1009009,"Division No.  9, Subd. A",,,,,8096,2652,15.1233,1,1,81932,1285301,0.0637,117,,
Newfoundland & Labrador,223,GREEN'S HARBOUR,1001304,"Division No.  1, Subd. E",,,,,33903,13798,0.9468,6,7,622531,10172953,0.0612,2971,,
Newfoundland & Labrador,225,GREENSPOND,1007054,Greenspond,,,,,1938019,832748,-0.2378,33,44,262370,886948,0.2958,305,,
Nova Scotia,,GREENVILLE,1202004,Yarmouth,,,,,179,323,-0.9797,1,1,2575595,17774581,0.1449,10105,,
Newfoundland & Labrador,578,GREY RIVER,1003024,,,,,,28281,13897,-0.8696,2,3,NA,NA,NA,385,,
Newfoundland & Labrador,226,GRIQUET,1009032,St. Lunaire-Griquet,,,,,44139,41377,1.1077,7,9,656972,3165878,0.2075,661,,
Quebec,3598,GROSSE-ILE (CAP DU DAUPHIN),2401042,Grosse-Île,,,,,3657605,734301,0.8510,33,37,173787,292353,0.5944,490,,
New Brunswick,2559,GULL COVE (WHITEHEAD ISLAND),1302001,Grand Manan,,,,,NA,NA,NA,NA,NA,2823489,8518829,0.3314,162,,
Nova Scotia,1119,GUNNING COVE,1201006,Shelburne,,,,,4292740,1469647,-0.6530,31,36,622600,2383982,0.2612,4408,,
Nova Scotia,,GUYSBOROUGH,1213004,Guysborough,,,,,245812,23870,0.0188,2,2,2189058,11035667,0.1984,4189,,
Nova Scotia,,HACKETT'S COVE,1209034,Halifax,,,,,122581,14020,-0.9700,3,5,8295382,1795405559,0.0046,390096,,
Nova Scotia,,HALIFAX,1209034,Halifax,,,,,1356181,3539150,-0.5504,4,6,8295382,1795405559,0.0046,390096,,
Nova Scotia,1121,HALLS HARBOUR,1207016,"Kings, Subd. B",,,,,972929,216164,-0.6716,2,7,149039,27045092,0.0055,11990,,
Newfoundland & Labrador,228,HAMPDEN,1005008,,,,,,15069,32774,-0.9971,1,1,138,3482,0.0397,457,,
Nova Scotia,1122,HAMPTON,1205009,"Annapolis, Subd. B",,,,,752465,84764,0.2204,5,5,212585,2043678,0.1040,3650,,
Newfoundland & Labrador,229,HANT'S HARBOUR,1001321,"Division No.  1, Subd. F",,,,,1431760,439719,0.0509,17,15,482634,1536378,0.3141,546,,
Nova Scotia,,HANTSPORT,,,,,,,13,18,-0.9995,NA,0,NA,NA,NA,NA,,
Newfoundland & Labrador,230,HAPPY ADVENTURE,1007038,"Division No.  7, Subd. D",,,,,733409,957116,0.6321,15,18,143,4968,0.0288,232,,
Newfoundland & Labrador,231,HARBOUR BRETON,1003008,Harbour Breton,,,,,2608693,1103075,-0.7105,38,44,1700160,6949151,0.2447,1711,,
Newfoundland & Labrador,232,HARBOUR GRACE,1001379,Harbour Grace,,,,,75507598,24489815,-0.2336,33,40,767180,11469399,0.0669,3131,,
Newfoundland & Labrador,233,HARBOUR LE COU,1003042,"Division No.  3, Subd. J",,,,,17,15,NA,NA,NA,NA,NA,NA,388,,
Newfoundland & Labrador,234,HARBOUR MAIN,1001469,Harbour Main-Chapel's Cove-Lakeview,,,,,4570,12542,-0.9999,NA,2,209,15381,0.0136,1083,,
Newfoundland & Labrador,235,HARBOUR MILLE,1002026,"Division No.  2, Subd. I",,,,,172440,46751,-0.6559,6,9,14140,356509,0.0397,136,,
Newfoundland & Labrador,236,HARBOUR ROUND,1008074,"Division No.  8, Subd. A",,,,,52618,63919,-0.9331,12,9,127910,565137,0.2263,352,,
Nova Scotia,,HARBOURVILLE,1207001,,,,,,1117868,240544,0.9336,8,5,25817,74661083,0.0003,22103,,
New Brunswick,2561,HARDWICKE,1309001,Hardwicke,,,,,46655,16038,-0.9151,1,2,1242919,7129048,0.1743,2329,,
Prince Edward Island,,HARDY'S CHANNEL,,,,,,,52880,9993,11.6485,2,1,NA,NA,NA,NA,,
Newfoundland & Labrador,,HARE BAY,1007049,,,,,,81818,38614,-0.2242,6,7,146922,2910153,0.0505,1031,,
Nova Scotia,,HARRIGAN COVE,1209034,Halifax,,,,,318612,33057,-0.1321,2,3,8295382,1795405559,0.0046,390096,,
Quebec,3895,HARRINGTON HARBOUR-CALE DE HALAGE,2498015,Côte-Nord-du-Golfe-du-Saint-Laurent,,,,,1722223,492500,-0.1825,20,25,485754,3848627,0.1262,971,,
Nova Scotia,,HARRIS ISLAND,1202001,Argyle,,,,,520082,58406,0.6709,5,5,8301417,26998789,0.3075,8252,,
Newfoundland & Labrador,,HARRY'S HARBOUR,1008065,,,,,,61213,17903,-0.4163,5,5,8,777,0.0106,340,,
Nova Scotia,1124,HAVRE BOUCHER,1214006,"Antigonish, Subd. B",,,,,499546,61371,-0.2286,6,8,282070,19653962,0.0144,6439,,
Quebec,3600,HAVRE-AUBERT - INSTALLATION DE PÊCHE CÔTIÈRE,2401023,Les Îles-de-la-Madeleine,,,,,1266935,310664,-0.6696,19,16,598409,1542285,0.3880,12291,,
Quebec,3602,HAVRE-ST-PIERRE,2498040,Havre-Saint-Pierre,,,,,3955859,1341669,0.1245,21,17,362581,21705555,0.0167,3418,,
Newfoundland & Labrador,,HAWKE BAY,,,,,,,25962,3895,-0.4828,2,3,NA,NA,NA,NA,,
Newfoundland & Labrador,,HAY COVE,1009031,"Division No.  9, Subd. D",,,,,1188,159,-0.8248,NA,0,1063069,13904936,0.0765,815,,
New Brunswick,2563,HEAD HARBOUR,1302004,Campobello Island,,,,,4152237,1687955,0.1073,8,23,627343,2756061,0.2276,925,,
Newfoundland & Labrador,240,HEART'S CONTENT,1001325,Heart's Content,,,,,140079,56825,0.0143,12,16,152605,1006856,0.1516,375,,
Newfoundland & Labrador,241,HEART'S DELIGHT,1001312,Heart's Delight-Islington,,,,,23706,7255,51.9767,1,3,43118,2254831,0.0191,704,,
Newfoundland & Labrador,242,HEART'S DESIRE,1001316,Heart's Desire,,,,,796,795,-0.2172,1,0,26681,560975,0.0476,223,,
Newfoundland & Labrador,648,HEATHERTON,1004006,"Division No.  4, Subd. B",,,,,125900,17810,-0.7663,5,9,58334,3199737,0.0182,1298,,
Nova Scotia,,HERMAN'S ISLAND,1206001,Lunenburg,,,,,11545,1225,2.6047,1,1,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,243,HERMITAGE,1003011,Hermitage-Sandyville,,,,,644268,360671,-0.7492,18,32,429450,1441378,0.2979,450,,
Nova Scotia,,HERRING COVE,1209034,Halifax,,,,,49575,5609,-0.5161,NA,2,8295382,1795405559,0.0046,390096,,
Newfoundland & Labrador,244,HERRING NECK,1008031,"Division No.  8, Subd. H",,,,,491286,158775,-0.6984,10,13,518941,4950205,0.1048,2043,,
New Brunswick,,HERRON ISLAND,,,,,,,NA,NA,2.4933,1,NA,NA,NA,NA,NA,,
Newfoundland & Labrador,245,HIBBS COVE,1001415,"Division No.  1, Subd. L",,,,,NA,NA,NA,NA,NA,1053919,2432085,0.4333,956,,
Newfoundland & Labrador,246,HICKMAN'S HARBOUR,1007006,"Division No.  7, Subd. L",,,,,801829,2928356,0.7611,34,35,188873,1042749,0.1811,1272,,
Prince Edward Island,2033,HIGGINS SHORE (PRINCE COUNTY),1103032,Lot 13,,,,,NA,NA,NA,NA,NA,NA,NA,NA,725,,
Prince Edward Island,,HIGGINS WHARF,,,,,,,NA,86258,0.7026,7,7,NA,NA,NA,NA,,
Newfoundland & Labrador,247,HIGHLANDS (EEL HOLE),1004006,"Division No.  4, Subd. B",,,,,185997,23457,-0.1309,4,8,58334,3199737,0.0182,1298,,
Newfoundland & Labrador,248,HILLGRADE,1008031,"Division No.  8, Subd. H",,,,,127645,35666,-0.9409,25,33,518941,4950205,0.1048,2043,,
Prince Edward Island,,HILLSBOROUGH BAY,,,,,,,48101,32387,-0.0685,2,1,NA,NA,NA,NA,,
Newfoundland & Labrador,250,HOLYROOD,1001452,"Division No.  1, Subd. O",,,,,2398,3920,NA,NA,1,58471,4416946,0.0132,724,,
Newfoundland & Labrador,251,HOPEALL,1001304,"Division No.  1, Subd. E",,,,,5994,7329,4.2684,4,2,622531,10172953,0.0612,2971,,
Prince Edward Island,2034,HOWARDS COVE,1103048,Lot  7,,,,,3044845,1018767,-0.3564,28,35,NA,NA,NA,472,,
Prince Edward Island,,HOWE BAY ,1101029,Lot 56,,,,,10710,5170,134.1064,1,1,NA,NA,NA,413,,
Nova Scotia,,HUBBARDS,1206009,Chester,,,,,3195,274,0.2987,1,0,514888,24549564,0.0210,10599,,
Nova Scotia,,HUBBARDS POINT,1202001,Argyle,,,,,4177,22166,-0.3748,NA,0,8301417,26998789,0.3075,8252,,
Nova Scotia,1127,HUNTS POINT,1204010,Queens,,,,,558948,60061,0.3435,7,0,2613644,28495307,0.0917,10917,,
Quebec,3609,ILE D'ENTREE (L'ILE-D'ENTREE),2401023,Les Îles-de-la-Madeleine,,,,,1001293,130256,-0.3459,9,9,598409,1542285,0.3880,12291,,
Nova Scotia,,INDIAN HARBOUR,1209034,Halifax,,,,,533862,107526,-0.2321,4,10,8295382,1795405559,0.0046,390096,,
Nova Scotia,1129,INDIAN POINT,1206001,Lunenburg,,,,,52131,5303,1.7019,1,2,3281566,61655736,0.0532,25118,,
New Brunswick,2565,INGALLS HEAD,1302052,Grand Manan,,,,,9128727,5435870,0.0536,38,46,NA,NA,NA,2377,,
Nova Scotia,1030,INGOMAR (BLACK POINT),1201006,Shelburne,,,,,4748903,957196,0.6157,28,34,622600,2383982,0.2612,4408,,
Nova Scotia,1224,INGONISH (MACLEODS POINT),1218006,"Victoria, Subd. A",,,,,NA,NA,NA,NA,NA,1386636,6782866,0.2044,2769,,
Nova Scotia,1130,INGONISH FERRY (SOUTH INGONISH),1218006,"Victoria, Subd. A",,,,,695152,84805,-0.4648,6,7,1386636,6782866,0.2044,2769,,
New Brunswick,,INKERMAN,1315024,,,,,,1113644,157805,0.7138,14,13,712214,11841055,0.0601,4247,,
Nova Scotia,1131,INVERNESS (MCISAAC POND),1215006,"Inverness, Subd. B",,,,,1745630,255181,-0.3033,11,17,589237,15990801,0.0368,5144,,
Nova Scotia,,IONA,1218001,"Victoria, Subd. B",,,,,13712,1401,-0.7278,1,1,296959,13825550,0.0215,3828,,
Nova Scotia,,ISAAC'S HARBOUR,1213004,Guysborough,,,,,118003,12562,0.7564,1,1,2189058,11035667,0.1984,4189,,
Newfoundland & Labrador,260,ISLE AUX MORTS,1003031,"Division No.  3, Subd. H",,,,,173690,409668,-0.7979,4,5,NA,NA,NA,727,,
Newfoundland & Labrador,259,ISLE VALEN,1002044,"Division No.  2, Subd. L",,,,,NA,NA,NA,NA,NA,NA,NA,NA,15,,
Newfoundland & Labrador,261,ISLINGTON,1001312,Heart's Delight-Islington,,,,,NA,NA,NA,NA,NA,43118,2254831,0.0191,704,,
Newfoundland & Labrador,263,JACKSON'S ARM,1005005,Jackson's Arm,,,,,409542,981361,-0.8983,5,13,110962,750854,0.1478,323,,
Newfoundland & Labrador,264,JACKSON'S COVE,1008065,"Division No.  8, Subd. P",,,,,146029,45221,0.0179,6,12,8,777,0.0106,340,,
New Brunswick,2567,JACQUET RIVER,1314025,Restigouche,,,,,57360,8625,-0.9699,NA,2,31,10733,0.0029,1548,,
Nova Scotia,,JANVRINS HARBOUR,1216001,"Richmond, Subd. C",,,,,125272,13209,3.0695,2,1,1204305,10998223,0.1095,3286,,
Newfoundland & Labrador,,JEAN DE BAIE,1002022,,,,,,441,61,-0.9164,NA,0,NA,NA,NA,260,,
Nova Scotia,,JEDDORE,,,,,,,324649,127558,1.4835,1,4,NA,NA,NA,NA,,
Newfoundland & Labrador,537,JENKINS COVE,1008026,"Division No.  8, Subd. I",,,,,NA,NA,NA,NA,NA,NA,NA,NA,211,,
Newfoundland & Labrador,266,JERSEYSIDE,1001234,"Division No.  1, Subd. B",,,,,1710228,663433,-0.1646,22,27,NA,NA,NA,344,,
Newfoundland & Labrador,267,JOB'S COVE,1001339,"Division No.  1, Subd. G",,,,,NA,NA,NA,NA,NA,1322782,5570825,0.2374,2017,,
Newfoundland & Labrador,268,JOE BATT'S ARM,1008020,Fogo Island Region (Part),,,,,1664912,632018,-0.2743,36,36,310592,1065836,0.2914,421,,
Prince Edward Island,,JOHNSONS RIVER,1102014,,,,,,15191,4635,0.0746,1,1,NA,NA,NA,1911,,
Nova Scotia,1138,JONES HARBOUR,1201006,Shelburne,,,,,772767,85501,0.9048,9,8,622600,2383982,0.2612,4408,,
Nova Scotia,,JORDAN BAY,1201006,Shelburne,,,,,1214202,475832,-0.6415,8,12,622600,2383982,0.2612,4408,,
Newfoundland & Labrador,719,JOSEPHINE'S COVE (BARR'D HARBOUR),1009047,"Division No.  9, Subd. G",,,,,NA,NA,NA,NA,NA,19852,79425,0.2500,49,,
Prince Edward Island,2035,JUDES POINT,1103058,Lot  1,,,,,27925,20083,0.7137,1,1,NA,NA,NA,1786,,
Nova Scotia,1139,JUDIQUE (BAXTER'S COVE),1215001,"Inverness, Subd. C",,,,,473128,53287,0.4546,7,8,184616,12277489,0.0150,3357,,
Quebec,,KAMOURASKA,2414050,Kamouraska,,,,,54841,8038,-0.3438,NA,0,NA,NA,NA,589,,
Nova Scotia,,KARSDALE,1205004,"Annapolis, Subd. A",,,,,46669,21704,-0.4661,1,1,1116846,8333732,0.1340,6008,,
Newfoundland & Labrador,269,KEELS,1007024,"Division No.  7, Subd. G",,,,,82403,24135,-0.3931,5,6,77618,767825,0.1011,398,,
Quebec,3615,KEGASKA - CALE DE HALAGE EST,2498015,Côte-Nord-du-Golfe-du-Saint-Laurent,,,,,NA,NA,NA,NA,NA,485754,3848627,0.1262,971,,
Quebec,4068,KEGASKA - QUAI DÉBARCADÈRE,2498015,Côte-Nord-du-Golfe-du-Saint-Laurent,,,,,NA,NA,NA,NA,NA,485754,3848627,0.1262,971,,
Nova Scotia,1140,KELLEY'S COVE,1202004,Yarmouth,,,,,2554,311,-0.9869,1,0,2575595,17774581,0.1449,10105,,
Newfoundland & Labrador,271,KING'S COVE,1007024,"Division No.  7, Subd. G",,,,,151068,56657,-0.6250,7,8,77618,767825,0.1011,398,,
New Brunswick,,KOUCHIBOUGUAC,1308026,Carleton,,,,,1238,262,-0.5715,1,0,594487,2236365,0.2658,770,,
New Brunswick,,KOUCHIBOUGUAC RIVER,,,,,,,31061,17833,-0.3379,2,2,NA,NA,NA,NA,,
Nova Scotia,1145,KRAUT POINT (RIVERPORT),1206001,Lunenburg,,,,,13465397,7852520,0.1069,14,13,3281566,61655736,0.0532,25118,,
Quebec,,LA POCATIERE,2414085,,,,,,21752,3211,-0.4859,1,1,NA,NA,NA,4266,,
Newfoundland & Labrador,277,LA SCIE,1008074,"Division No.  8, Subd. A",,,,,9945152,5688829,-0.2163,96,74,127910,565137,0.2263,352,,
Quebec,3631,LA TABATIERE-SECTION DES PECHE,2498014,Gros-Mécatina,,,,,707681,555888,-0.9962,5,12,45517,2153528,0.0211,499,,
Newfoundland & Labrador,278,LADLE COVE,1008008,"Division No.  8, Subd. L",,,,,37177,24294,-0.3133,6,7,120343,7955259,0.0151,3105,,
Nova Scotia,,LAHAVE,1206001,Lunenburg,,,,,6242862,3338371,0.0735,1,1,3281566,61655736,0.0532,25118,,
Nova Scotia,,LAHAVE ISLAND,1206001,Lunenburg,,,,,11192,1371,-0.9659,1,1,3281566,61655736,0.0532,25118,,
Newfoundland & Labrador,281,LAMALINE,1002009,"Division No.  2, Subd. G",,,,,623381,205127,-0.2359,16,17,NA,NA,NA,10,,
New Brunswick,2571,LAMÈQUE,1315029,Shippagan,,,,,12585565,4346609,0.0837,33,36,2962105,12888780,0.2298,5032,,
Newfoundland & Labrador,,L'ANSE AMOUR,1010001,"Division No. 10, Subd. A",,,,,1426,410,0.8303,NA,NA,NA,NA,NA,49,,
Quebec,3618,L'ANSE-À-BEAUFILS,2402005,Percé,,,,,1524053,159958,0.7046,15,15,978725,7646058,0.1280,3312,,
Quebec,3619,L'ANSE-À-BRILLANT,2403005,Gaspé,,,,,607253,67422,0.2872,8,10,3184211,55870550,0.0570,15163,,
Newfoundland & Labrador,275,L'ANSE-AU-CLAIR,1010004,L'Anse-au-Clair,,,,,144952,338153,-0.3235,12,15,167,2484,0.0672,192,,
Quebec,3622,L'ANSE-AU-GRIFFON,2403005,Gaspé,,,,,69617,24402,-0.7389,NA,2,3184211,55870550,0.0570,15163,,
Newfoundland & Labrador,276,L'ANSE-AU-LOUP,1010002,L'Anse au Loup,,,,,2413124,1578269,0.0256,27,24,681457,3242187,0.2102,550,,
Quebec,,L'ANSE-AUX-GASCONS,2402047,Port-Daniel--Gascons,,,,,196744,161866,67.6344,17,8,151184,2826944,0.0535,2453,,
Quebec,3621,L'ANSE-À-VALLEAU,2403005,Gaspé,,,,,91395,33472,1.6995,2,2,3184211,55870550,0.0570,15163,,
New Brunswick,2502,L'ANSE-BLEUE,1315016,New Bandon,,,,,870918,136742,0.7496,9,10,438174,3815187,0.1149,1195,,
Newfoundland & Labrador,,LAPOILE,1003038,"Division No.  3, Subd. I",,,,,401496,164325,-0.7114,5,10,33057,291674,0.1133,103,,
Nova Scotia,,L'ARCHEVEQUE,1216011,"Richmond, Subd. B",,,,,1415063,148254,-0.5766,4,4,494600,2546302,0.1942,1573,,
Newfoundland & Labrador,283,LARK HARBOUR,1005019,"Division No.  5, Subd. D",,,,,268670,89457,-0.9241,22,21,NA,NA,NA,5,,
Nova Scotia,1147,LARRYS RIVER,1213004,Guysborough,,,,,2937716,2407304,2.1207,8,6,2189058,11035667,0.1984,4189,,
Prince Edward Island,2037,LAUNCHING,1101028,Lot 55,,,,,2121320,269146,0.6823,32,29,NA,NA,NA,378,,
Newfoundland & Labrador,284,LAWN,1002011,Lawn,,,,,4057079,2016609,0.8208,18,23,215111,3089208,0.0696,672,,
New Brunswick,2631,LE GOULET,1315029,Shippagan,,,,,3502414,510252,0.2366,37,40,2962105,12888780,0.2298,5032,,
Newfoundland & Labrador,287,LEADING TICKLES,1008048,Leading Tickles,,,,,1219838,1006587,-0.6027,55,58,80790,509072,0.1587,337,,
Quebec,,LECLERCVILLE,2433123,Lotbiniere,,,,,2693,354,-0.2270,1,0,NA,NA,NA,477,,
Nova Scotia,1148,LEDGE HARBOUR,1202001,Argyle,,,,,1082687,158327,-0.1008,5,6,8301417,26998789,0.3075,8252,,
Prince Edward Island,,LENNOX ISLAND,1103035,,,,,,1126163,194477,0.7806,14,18,23433,248290,0.0944,293,,
New Brunswick,2573,LEONARDVILLE,1302006,West Isles,,,,,2790301,1067630,0.1007,20,21,1374189,3062876,0.4487,731,,
New Brunswick,2510,LEPREAU (BELAS BASIN),1302008,Lepreau,,,,,308065,66483,0.0852,3,2,462295,5818834,0.0794,752,,
New Brunswick,2545,LES ABOITEAUX (DUPUIS CORNER),1307007,Cap-Pelé,,,,,NA,NA,NA,NA,NA,2354906,10830018,0.2174,2256,,
Quebec,,LES EBOULEMENTS,2416048,Charlevoix,,,,,124,66,1.8051,1,0,NA,NA,NA,1328,,
Quebec,4035,LES ESCOUMINS (BASQUES),2495025,Les Escoumins,,,,,881703,220864,-0.3600,4,4,61222,8450798,0.0072,2000,,
Quebec,3660,LES MECHINS -QUAI DES PECHEURS,2408005,Les Méchins,,,,,NA,NA,NA,NA,NA,8,2382,0.0034,1107,,
New Brunswick,,L'ETANG,1302016,Saint George,,,,,237610,1466767,0.0775,2,2,1392385,6923534,0.2011,2472,,
New Brunswick,,L'ETETE,,,,,,,84929,712864,-0.2536,2,2,NA,NA,NA,NA,,
Newfoundland & Labrador,,LEWISPORTE,1008044,,,,,,3464,709,-0.9948,1,1,174965,15836635,0.0110,3483,,
Nova Scotia,,LINGAN,1217030,Cape Breton,,,,,604048,63645,-0.0922,10,11,4980681,329033792,0.0151,97398,,
Nova Scotia,,LISCOMB,1213001,St. Mary's,,,,,715656,74253,2.2151,3,3,958481,6401724,0.1497,2354,,
Quebec,,L'ISLE-AUX-COUDRES,2416023,Charlevoix,,,,,10853,2735,-0.4936,1,2,NA,NA,NA,1279,,
Quebec,3613,L'ISLE-VERTE (VILLAGE),2412043,Rivière-du-Loup,,,,,94784,42559,484.6122,1,1,NA,NA,NA,1469,,
Newfoundland & Labrador,289,LITTLE BAY (LA POILE),1003038,"Division No.  3, Subd. I",,,,,NA,NA,NA,NA,NA,33057,291674,0.1133,103,,
Newfoundland & Labrador,,"LITTLE BAY EAST, F.B.",1002055,Division No. 2,,,,,163214,293610,-0.9798,NA,9,33,914,0.0356,130,,
Newfoundland & Labrador,,LITTLE BAY ISLANDS,1008064,,,,,,73559,45061,-0.9634,5,8,44,198,0.2238,97,,
Newfoundland & Labrador,,"LITTLE BAY, MORTIER BAY",,,,,,,21968,8647,3.3763,1,1,NA,NA,NA,NA,,
Newfoundland & Labrador,291,LITTLE BURNT BAY,1008045,Little Burnt Bay,,,,,35438,11979,-0.1871,4,4,NA,NA,NA,294,,
Nova Scotia,,LITTLE HARBOUR,,,,,,,7662438,1333348,1.2802,44,49,NA,NA,NA,NA,,
Nova Scotia,1156,LITTLE HARBOUR (CHERRY HILL),1206001,Lunenburg,,,,,316282,35914,2.2988,6,3,3281566,61655736,0.0532,25118,,
Nova Scotia,1155,LITTLE HARBOUR (HALIFAX COUNTY),1209034,Halifax,,,,,NA,NA,NA,NA,NA,8295382,1795405559,0.0046,390096,,
Nova Scotia,1158,LITTLE HARBOUR (L'ARDOISE),1216011,"Richmond, Subd. B",,,,,NA,NA,NA,NA,NA,494600,2546302,0.1942,1573,,
Nova Scotia,1160,LITTLE HARBOUR (SHELBURNE COUNTY),1201006,Shelburne,,,,,NA,NA,NA,NA,NA,622600,2383982,0.2612,4408,,
Newfoundland & Labrador,294,LITTLE HARBOUR EAST,1002026,"Division No.  2, Subd. I",,,,,NA,NA,NA,NA,NA,14140,356509,0.0397,136,,
Newfoundland & Labrador,,"LITTLE HARBOUR EAST, FORTUNE BAY",,,,,,,30659,5275,-0.6164,1,2,NA,NA,NA,NA,,
Newfoundland & Labrador,,"LITTLE HARBOUR EAST, PLACENTIA BAY",,,,,,,330430,177447,-0.4089,12,15,NA,NA,NA,NA,,
Newfoundland & Labrador,296,LITTLE HEART'S EASE,1007001,"Division No.  7, Subd. M",,,,,10404,39612,-0.9568,3,5,551443,8092174,0.0681,2055,,
Nova Scotia,,LITTLE JUDIQUE HARBOUR,1215006,"Inverness, Subd. B",,,,,762849,88267,-0.6064,19,12,589237,15990801,0.0368,5144,,
Nova Scotia,1162,LITTLE JUDIQUE PONDS,1215001,"Inverness, Subd. C",,,,,442620,56624,-0.0318,19,9,184616,12277489,0.0150,3357,,
New Brunswick,,LITTLE LEPREAU,1301016,Musquash,,,,,1331530,324643,0.5916,15,17,37714,3001258,0.0126,1200,,
Nova Scotia,1163,LITTLE LISCOMB,1213001,St. Mary's,,,,,143304,14916,-0.1206,1,1,958481,6401724,0.1497,2354,,
Nova Scotia,,LITTLE LORRAINE,1217030,Cape Breton,,,,,374923,37001,0.2607,6,5,4980681,329033792,0.0151,97398,,
Newfoundland & Labrador,298,LITTLE PARADISE,1002044,"Division No.  2, Subd. L",,,,,934,889,-0.9601,NA,0,NA,NA,NA,15,,
Newfoundland & Labrador,299,LITTLE PORT,1005019,"Division No.  5, Subd. D",,,,,1504605,1389723,0.6080,47,67,NA,NA,NA,5,,
Nova Scotia,1166,LITTLE RIVER (DIGBY COUNTY),1203004,Digby,,,,,NA,NA,NA,NA,NA,2347740,15260532,0.1538,7463,,
Nova Scotia,1165,LITTLE RIVER (VICTORIA COUNTY),1218006,"Victoria, Subd. A",,,,,NA,NA,NA,NA,NA,1386636,6782866,0.2044,2769,,
